% RZ_Dra_B.txt
%
%
% Description: Relative B-band light curve of RZ Dra (Kreiner et al. 1994)
% 
%
%     HJD      dBmag
%      d       mag
 2448117.3612 -0.607
 2448117.3616 -0.612
 2448117.3619 -0.602
 2448117.3623 -0.604
 2448117.3626 -0.603
 2448117.3630 -0.602
 2448117.3633 -0.603
 2448117.3637 -0.601
 2448117.3640 -0.604
 2448117.3644 -0.608
 2448117.3699 -0.546
 2448117.3703 -0.534
 2448117.3706 -0.534
 2448117.3710 -0.531
 2448117.3713 -0.534
 2448117.3717 -0.521
 2448117.3720 -0.525
 2448117.3723 -0.515
 2448117.3727 -0.526
 2448117.3730 -0.507
 2448117.3788 -0.461
 2448117.3792 -0.449
 2448117.3795 -0.450
 2448117.3798 -0.455
 2448117.3802 -0.454
 2448117.3805 -0.447
 2448117.3809 -0.442
 2448117.3812 -0.438
 2448117.3816 -0.431
 2448117.3819 -0.434
 2448117.3879 -0.352
 2448117.3882 -0.337
 2448117.3886 -0.347
 2448117.3889 -0.318
 2448117.3893 -0.300
 2448117.3921 -0.261
 2448117.3925 -0.263
 2448117.3928 -0.260
 2448117.3932 -0.262
 2448117.3937 -0.255
 2448117.3940 -0.244
 2448117.3978 -0.156
 2448117.3981 -0.158
 2448117.3985 -0.146
 2448117.3988 -0.139
 2448117.3992 -0.136
 2448117.4017 -0.079
 2448117.4020 -0.082
 2448117.4024 -0.055
 2448117.4027 -0.063
 2448117.4031 -0.078
 2448117.4067  0.023
 2448117.4071  0.028
 2448117.4074  0.018
 2448117.4078  0.020
 2448117.4081  0.036
 2448117.4106  0.067
 2448117.4109  0.076
 2448117.4113  0.104
 2448117.4116  0.096
 2448117.4120  0.114
 2448117.4156  0.104
 2448117.4160  0.104
 2448117.4163  0.105
 2448117.4167  0.123
 2448117.4170  0.112
 2448117.4197  0.117
 2448117.4200  0.142
 2448117.4204  0.129
 2448117.4207  0.130
 2448117.4211  0.128
 2448117.4251  0.153
 2448117.4255  0.154
 2448117.4258  0.143
 2448117.4262  0.143
 2448117.4265  0.113
 2448117.4296  0.131
 2448117.4299  0.120
 2448117.4303  0.129
 2448117.4306  0.126
 2448117.4309  0.134
 2448117.4347  0.077
 2448117.4350  0.092
 2448117.4354  0.082
 2448117.4357  0.057
 2448117.4361  0.023
 2448117.4393 -0.016
 2448117.4397 -0.020
