% RZ Dra (Kreiner+ 1994) (ReadMe)
% Differential B photometry of RZ Dra
%
%     HJD      dVmag
%      d       mag
 2448117.3651 -0.362
 2448117.3655 -0.336
 2448117.3658 -0.358
 2448117.3662 -0.345
 2448117.3665 -0.337
 2448117.3669 -0.348
 2448117.3672 -0.344
 2448117.3676 -0.339
 2448117.3679 -0.334
 2448117.3683 -0.330
 2448117.3737 -0.276
 2448117.3741 -0.284
 2448117.3744 -0.266
 2448117.3748 -0.263
 2448117.3751 -0.263
 2448117.3755 -0.259
 2448117.3758 -0.255
 2448117.3762 -0.256
 2448117.3765 -0.250
 2448117.3769 -0.244
 2448117.3826 -0.179
 2448117.3829 -0.167
 2448117.3833 -0.170
 2448117.3836 -0.158
 2448117.3840 -0.151
 2448117.3843 -0.161
 2448117.3846 -0.139
 2448117.3850 -0.138
 2448117.3853 -0.153
 2448117.3857 -0.157
 2448117.3898 -0.062
 2448117.3901 -0.053
 2448117.3904 -0.066
 2448117.3908 -0.048
 2448117.3911 -0.052
 2448117.3948 -0.003
 2448117.3951  0.020
 2448117.3955  0.015
 2448117.3958  0.023
 2448117.3962  0.025
 2448117.3997  0.105
 2448117.4000  0.095
 2448117.4004  0.096
 2448117.4007  0.102
 2448117.4011  0.125
 2448117.4036  0.177
 2448117.4040  0.169
 2448117.4043  0.174
 2448117.4047  0.179
 2448117.4050  0.208
 2448117.4086  0.250
 2448117.4090  0.271
 2448117.4093  0.284
 2448117.4097  0.277
 2448117.4100  0.282
 2448117.4125  0.289
 2448117.4129  0.310
 2448117.4132  0.316
 2448117.4136  0.295
 2448117.4139  0.309
 2448117.4177  0.303
 2448117.4181  0.278
 2448117.4184  0.312
 2448117.4188  0.298
 2448117.4191  0.296
 2448117.4217  0.310
 2448117.4220  0.311
 2448117.4223  0.309
 2448117.4227  0.297
 2448117.4230  0.323
 2448117.4274  0.316
 2448117.4278  0.298
 2448117.4281  0.316
 2448117.4285  0.295
 2448117.4288  0.289
 2448117.4317  0.279
 2448117.4320  0.262
 2448117.4324  0.284
 2448117.4327  0.268
 2448117.4331  0.269
 2448117.4369  0.218
 2448117.4373  0.223
 2448117.4376  0.193
 2448117.4379  0.192
 2448117.4383  0.186
 2448117.4413  0.136
 2448117.4417  0.133
 2448117.4420  0.128
 2448117.4424  0.122
 2448117.4427  0.103
 2448117.4480  0.005
 2448117.4483  0.014
 2448117.4487  0.014
 2448117.4490  0.025
 2448117.4494 -0.008
 2448117.4520 -0.039
 2448117.4524 -0.062
 2448117.4527 -0.048
 2448117.4531 -0.072
 2448117.4534 -0.044
 2448117.4570 -0.128
 2448117.4573 -0.120
 2448117.4577 -0.108
 2448117.4580 -0.126
 2448117.4584 -0.123
 2448117.4609 -0.148
 2448117.4612 -0.173
 2448117.4616 -0.175
 2448117.4619 -0.179
 2448117.4623 -0.184
 2448117.4660 -0.237
 2448117.4663 -0.221
 2448117.4667 -0.228
 2448117.4670 -0.211
 2448117.4674 -0.232
 2448117.4701 -0.285
 2448117.4704 -0.270
 2448117.4708 -0.264
 2448117.4711 -0.295
 2448117.4715 -0.287
 2448117.4753 -0.322
 2448117.4756 -0.310
 2448117.4760 -0.305
 2448117.4859 -0.379
 2448117.4863 -0.383
 2448117.4866 -0.385
 2448117.4948 -0.444
 2448117.4951 -0.432
 2448117.4955 -0.442
 2448117.5039 -0.442
 2448117.5042 -0.446
 2448117.5046 -0.470
 2448117.5110 -0.440
 2448117.5114 -0.454
 2448117.5117 -0.472
 2448117.5121 -0.474
 2448117.5124 -0.468
 2448117.5128 -0.486
 2448117.5131 -0.467
 2448117.5135 -0.475
 2448117.5138 -0.474
 2448117.5142 -0.482
 2448117.5196 -0.512
 2448117.5200 -0.525
 2448117.5203 -0.522
 2448117.5207 -0.521
 2448117.5210 -0.505
 2448117.5214 -0.493
 2448117.5217 -0.486
 2448117.5221 -0.496
 2448117.5224 -0.485
 2448117.5228 -0.488
 2448117.5284 -0.480
 2448117.5287 -0.503
 2448117.5291 -0.510
 2448117.5294 -0.483
 2448117.5298 -0.490
 2448117.5301 -0.489
 2448117.5305 -0.515
 2448117.5308 -0.494
 2448117.5312 -0.513
 2448118.3796 -0.524
 2448118.3799 -0.543
 2448118.3803 -0.525
 2448118.3806 -0.534
