%-----------------------------------------------------------------------
% vega_spec function                                          AstroSpec
% Description: Get Vega spectrum from Kurucz (1993) models.
%              Teff = 9550,  log g = 3.95, log z = -0.5e0.
%              V-band magnityde = +0.034 mag (measured from spectrum,
%              assuming 3670 Jy for V=0).
%              Multiplied by 1.006 so that the normalization coincides
%              with Fukugita.
% Output : - Vega spectrum [Wavelength(A), Flux(erg/cm^2/s)]
% Tested : Matlab 7.0
%     By : Eran O. Ofek                   March 2005
%    URL : http://wise-obs.tau.ac.il/~eran/matlab.html
% Example: Spec=vega_spec;
%-----------------------------------------------------------------------


506. 4.23893e-23
512. 7.49001e-23
520. 1.40579e-22
530. 3.04737e-22
540. 6.31091e-22
550. 1.27066e-21
560. 2.49119e-21
570. 4.76252e-21
580. 8.88988e-21
590. 1.62241e-20
600. 2.89795e-20
610. 5.0719e-20
620. 8.7063e-20
630. 1.46717e-19
640. 2.42953e-19
650. 3.95629e-19
658. 5.77714e-19
665. 7.98096e-19
675. 1.25062e-18
685. 1.93199e-18
695. 2.94447e-18
705. 2.441e-19
716. 3.55629e-19
726. 4.94263e-19
735. 6.58909e-19
745. 8.98053e-19
755. 1.21241e-18
765. 1.62183e-18
775. 2.14991e-18
785. 2.82618e-18
795. 3.66236e-18
805. 4.75546e-18
815. 6.11124e-18
825. 7.78692e-18
835. 9.84481e-18
845. 1.23835e-17
855. 1.54622e-17
865. 1.91841e-17
875. 2.36286e-17
885. 2.90047e-17
895. 3.53659e-17
905. 4.27438e-17
915. 9.81528e-15
925. 5.96973e-14
935. 1.00883e-13
945. 1.69438e-13
955. 2.46242e-13
965. 3.24969e-13
975. 2.7983e-13
985. 4.67689e-13
995. 5.20604e-13
1005. 6.56411e-13
1015. 7.45349e-13
1025. 5.00146e-13
1035. 9.59904e-13
1045. 1.18424e-12
1055. 1.35921e-12
1065. 1.48767e-12
1075. 1.7438e-12
1085. 1.95465e-12
1095. 2.11229e-12
1105. 7.01461e-11
1115. 2.123e-10
1125. 2.66613e-10
1135. 2.86889e-10
1145. 2.19737e-10
1155. 1.80918e-10
1165. 1.23143e-10
1175. 4.6963e-11
1185. 1.54597e-11
1195. 6.74402e-12
1205. 5.6308e-12
1215. 1.61557e-12
1225. 6.16625e-12
1235. 1.2582e-11
1245. 3.49815e-11
1255. 1.76897e-10
1265. 3.29712e-10
1275. 1.18616e-09
1285. 2.18646e-09
1295. 2.73588e-09
1305. 2.17414e-09
1315. 3.66302e-09
1325. 4.24785e-09
1335. 4.18484e-09
1345. 5.29821e-09
1355. 5.0483e-09
1365. 4.70074e-09
1375. 5.35616e-09
1385. 5.32585e-09
1395. 5.86672e-09
1405. 5.87437e-09
1415. 5.39204e-09
1425. 5.85464e-09
1435. 5.33287e-09
1442. 6.00038e-09
1447. 6.55663e-09
1455. 6.5427e-09
1465. 5.87096e-09
1475. 5.72285e-09
1485. 6.07328e-09
1495. 6.4882e-09
1505. 6.65245e-09
1512. 6.11341e-09
1517. 6.55654e-09
1525. 5.80696e-09
1535. 5.2838e-09
1545. 6.36633e-09
1555. 5.80731e-09
1565. 5.33516e-09
1575. 5.94753e-09
1585. 6.33578e-09
1595. 6.77249e-09
1605. 6.34918e-09
1615. 6.22139e-09
1625. 5.61057e-09
1635. 6.02359e-09
1645. 6.29352e-09
1655. 5.04056e-09
1665. 6.20606e-09
1672. 4.63879e-09
1677. 5.8225e-09
1685. 6.39869e-09
1695. 5.8559e-09
1705. 5.6623e-09
1715. 5.75406e-09
1725. 5.65645e-09
1735. 5.96127e-09
1745. 5.78935e-09
1755. 6.27452e-09
1765. 5.43017e-09
1775. 6.00552e-09
1785. 5.92835e-09
1795. 6.40263e-09
1805. 6.15802e-09
1815. 6.04271e-09
1825. 5.82658e-09
1835. 5.67122e-09
1845. 5.23523e-09
1855. 5.50398e-09
1865. 5.53088e-09
1875. 5.71842e-09
1885. 5.67989e-09
1895. 5.65435e-09
1905. 5.39698e-09
1915. 5.585e-09
1925. 5.61616e-09
1935. 5.42797e-09
1945. 5.7359e-09
1955. 5.65594e-09
1967. 5.77612e-09
1976. 5.64837e-09
1984. 5.52059e-09
1995. 5.36102e-09
2005. 5.26558e-09
2015. 5.11748e-09
2025. 5.05647e-09
2035. 5.20352e-09
2045. 5.36506e-09
2055. 5.15588e-09
2065. 5.07363e-09
2074. 5.27611e-09
2078. 5.37529e-09
2085. 5.31923e-09
2095. 5.12779e-09
2105. 4.99886e-09
2115. 5.00209e-09
2125. 5.05986e-09
2135. 4.44996e-09
2145. 4.87228e-09
2155. 4.88373e-09
2165. 4.65554e-09
2175. 4.59591e-09
2185. 4.60733e-09
2195. 4.86906e-09
2205. 4.66219e-09
2215. 4.33766e-09
2225. 4.2794e-09
2235. 4.69468e-09
2245. 4.27781e-09
2255. 4.2018e-09
2265. 4.17799e-09
2275. 4.41276e-09
2285. 4.52981e-09
2295. 4.26036e-09
2305. 4.24324e-09
2315. 4.12229e-09
2325. 3.44696e-09
2335. 3.96994e-09
2345. 3.66074e-09
2355. 4.09025e-09
2365. 3.68753e-09
2375. 3.8868e-09
2385. 3.44749e-09
2395. 3.74764e-09
2405. 3.58568e-09
2415. 3.6547e-09
2425. 3.86029e-09
2435. 3.68105e-09
