Sc 18           00 00 55.9 -41 08 58 0.7 17.5   0.57 Ir     151  129 distant
KKH 1           00 14 27.2 +31 19 02 0.7 18.4   0.32 Ir    -104  160 gal.+Local HI
Sc 24           00 36 39.2 -32 34 22 0.6 18.0   0.06 Ir      79   83 distant
Sc 42           01 39 14.5 -47 17 58 0.8 16.7   0.06 Ir     162   64 distant
MB 2            02 36 59.8 +59 14 14 1.1 18.    4.03 neb             cirrus
U2397,KKH 15    02 56 15.3 +37 08 07 0.7 16.9   0.50 Ir    -142   32 gal.+Local HI
U2689           03 21 27.7 +40 48 06 1.5 16.0   0.64 Ir     277  443 distant
Cam C, KK 26    03 23 06.4 +62 47 08 1.8 15.6   4.80 HII    -64  151
N1400           03 39 30.6 -18 41 15 2.5 11.9   0.28 E      558  485 distant, D = 26.4 Mpc, Tonry et al. 2001
KKH 25          04 22 16.0 +30 26 21 0.7 18.3   2.33 Ir    -135  -49 gal.+Local HI
KKH 26          04 38 22.9 +07 05 34 2.4 16.5   0.65 neb     55   32
KKH 29          04 56 51.0 +37 57 00 1.2 17.    7.73 neb    -39   50
P 16744         05 06 25.2 -31 57 10 2.1 13.38  0.06 HII?   686  497 knot in NGC1800
U3327           05 36 40.9 +31 51 16 0.8 14.   19.11 neb    187  223 refl.
KKH 33          05 52 48.5 +28 05 56 1.1 16.    3.18 PN      49   57
N2242           06 34 07.2 +44 46 37 0.3 15.    0.57 PN      38   99
HIZSS021        07 46 06.0 -28 25 35     20.    4.34 HVC    494  219
VKN             08 40 08.9 +68 26 23 0.9 17.7   0.34 dSph?
HIPASS J0851-75 08 51 29.2 -75 31 52     20.    0.60 HVC    482  204
U4991           09 23 21.3 +22 19 07 0.6 14.    0.17 str    147   39 star+gal.
KKSG 13         09 35 27.7 -16 20 00 1.2 18.2   0.24 Ir      89 -181 gal.+Local HI
KKH 59          10 10 15.2 +62 54 50 1.2 15.2   0.06 Ir    -160  -49 gal.+Local HI?
E264-35         10 42 51.4 -47 36 56 1.5 14.02  0.80 Sd     770  459 V_h=1099 in HIPASS
HIPASS J1114-77 11 14 14.0 -77 44 26     20.    4.30 HVC    536  267
P35366          11 29 07.7 -29 34 57 1.4 16.6   0.29 SB     749  468 distant
KKH 70          11 39 26.9 +60 10 18 0.9 16.7   0.06 Ir    -151  -41 gal.+Local HI
DDO97,U6782     11 48 57.3 +23 50 16 2.0 15.2   0.12 Ir     524  452 distant, D = 14 Mpc, Makarova et al. 1998
A1154-1935      11 56 56.5 -19 52 09 0.2 18.    0.12 E?     120 -126 distant
KKH 75          12 01 55.4 +62 38 31 0.7 18.0   0.08 neb   -153  -26 Local HI?
MCG5-29-9       12 05 23.3 +28 21 57 0.6 15.4   0.10 Ir     568  527 distant
U7131           12 09 11.8 +30 54 25 1.2 15.5   0.10 S      253  226 D = 14 Mpc, Makarova et al. 1998
KKs 50          12 09 30.2 -30 21 49 0.6 18.0   0.25 dSph   150 -115 gal.+Local HI?
N4150           12 10 33.6 +30 24 06 2.3 12.4   0.08 E      226  198 distant, D = 13.7 Mpc, Tonry et al. 2001
U7321           12 17 34.1 +22 32 22 5.5 14.1   0.12 Sd     409  345 distant, Unresolved with HST
I779,U7369      12 19 38.8 +29 52 59 1.0 14.91  0.08 S0     225  198 distant
KKH79           12 19 51.7 +61 31 06 0.5 17.7   0.08 Ir     516  642 HRV = 320 (Karachentsev et al. 2001a) should be read as 520 km/s
KKSG 37         12 48 01.0 -12 39 22 0.6 18.7   0.22 dSph    84 -110 gal.+Local HI
P43501          12 50 57.5 -13 27 31 1.1 14.2   0.23 SB     346  151 distant
Cen 5           13 04 57.0 -49 24 04 0.8 17.    0.78 Ir     122 -143 distant
KK 191          13 13 38.9 +42 02 39 0.8 18.2   0.06 Ir?    368  429 Confusion from NGC 5055 at 24'?
KK201           13 25 12.1 -37 37 26 1.3 17.50  0.30 Sph?            distant?, Unresolved into stars with the WFPC2.
N5461           14 03 41.0 +54 19 03 0.6 16.    0.04 HII    298  436 HII in M101
KKR 4           14 16 21.5 +13 52 31 1.1 17.    0.11 PN     -17  -36
HIPASS J1441-62 14 41 37.0 -62 44 38     20.    5.74 HVC    671  439
KK 236          15 05 31.9 +55 51 51 0.9 19.17  0.06 dSph  -150   24 gal.+Local HI?
KK 237          15 08 06.6 +56 15 38 0.7 18.21  0.05 Ir    -177    0 gal.+Local HI?
HIZOA J1526-51  15 26 20.0 -51 11 16     20.    2.75 HVC    605  415
HIPASS J1614-72 16 14 22.5 -72 15 55     20.    0.39 HVC    383  170
HIZOA J1618-55  16 18 16.0 -55 36 48     20.    2.89 HVC    403  230
HIPASS J1712-64 17 12 35.0 -64 38 12     20.    0.46 HVC    458  283
KKH 89          18 32 44.2 +33 23 17 1.5 18.0   0.28 neb?   -99  150 cirrus?
HIPASS J1858-67 18 58 25.3 -67 22 58     20.    0.26 HVC    434  281
HIPASS J1913-67 19 13 00.2 -67 05 49     20.    0.29 HVC    426  278
HIPASS J1919-68 19 19 58.4 -68 39 13     20.    0.29 HVC    242   88
HIPASS J1931-68 19 31 32.7 -68 03 31     20.    0.46 HVC    372  223
KKH 90          19 41 50.6 +68 34 14 1.3 18.0   0.67 neb   -139  146
KKH 91          19 57 59.6 +04 47 26 0.9 17.4   0.46 neb     -4  207
PGC 64622       20 24 11.0 +35 51 37 0.7 16.   22.91 neb   -114  186
KKH 93          20 58 00.0 +62 20 56 0.5 18.3   2.89 Ir    -112  192 gal.+Local HI
HIPASS J2118-82 21 18 02.0 -82 32 45     20.    0.89 HVC    318  114
Sc 2            23 20 37.2 -31 54 22 0.4 18.    0.87 Ir      68  109 distant
