WLM              2.58 72  26 0.00 -13.95 24.4  0.67 6.9  8.32  3.54  0.3 M31     
E349-031         1.27 36   7 0.00 -12.63 24.2  0.51 6.9  6.88  0.43  0.5 N7793   
N55             12.05 83  78 0.57 -18.06 23.7  0.78 7.3  9.93  3.26 -0.4 N300    
N59              3.66 64  24 0.00 -15.74 23.4  0.06 6.2  8.41  0.83 -0.6 N253    
E410-005         0.70 41     0.00 -11.58 24.0                        0.4 N55     
I10              2.71 30  55 0.02 -15.57 22.9  0.37 7.2  8.98  3.68  1.8 M31     
Sc22             1.06 40     0.00 -10.45 26.0                        0.9 N253    
Cetus            1.13 31     0.00 -10.18 26.4                        0.5 M31     
E294-010         0.56 52     0.00 -10.91 24.2                        1.0 N55     
U288             2.47 53  19 0.00 -13.82 24.4  1.03 7.1  8.00  1.90 -2.1 N6946   
N147             3.16 54     0.00 -14.79 24.0                        3.0 M31     
AndIII           0.61 55     0.00  -9.30 25.9                        3.5 M31     
N185             2.51 33     0.00 -14.76 23.5  0.00 4.5              2.3 M31     
N205             4.49 54   5 0.00 -16.15 23.4  0.00 4.3  7.12  0.03  3.7 M31     
ANDIV            2.32 41     0.00 -12.60 25.5                       -2.1 I342    
N221             1.99 46     0.00 -15.96 21.8                        6.8 M31     
M31             35.87 74 255 1.05 -21.58 22.5  0.07 6.7 11.43  4.07  4.6 N221    
DDO226           2.60 72  22 0.00 -14.17 24.2  0.80 7.0  8.17  2.02 -0.1 N253    
AndI             0.98 19     0.00 -10.87 25.4                        3.7 M31     
N247            20.66 72 101 0.52 -18.81 24.1  0.51 6.9 10.39  4.75  1.3 N253    
N253            22.98 79 199 1.24 -21.37 21.7  0.05 6.8 11.03  1.93  0.3 N247    
KDG2             1.19 24     0.00 -11.39 25.3                        0.4 N253    
DDO6             1.40 69   7 0.00 -12.50 24.5  0.57 6.8  6.85  0.46  0.5 N253    
E540-032         1.30 24     0.00 -11.32 25.6                        0.6 N253    
SMC              5.28 51  51 0.04 -16.35 23.6  0.14 6.5  9.20  2.94  3.5 LMC     
N300            12.95 45  94 0.14 -17.92 24.0  0.97 7.2 10.12  5.84 -0.3 N55     
Sculptor         0.89 39     0.00  -9.77 26.3  0.00 3.6              2.8 MilkyWay
LGS-3            0.20 56   5 0.00  -7.96 24.9  0.64 6.7  5.77  2.46  1.7 M31     
I1613            3.49 26  19 0.00 -14.51 24.5  0.59 6.8  8.16  1.47  0.9 M31     
U685             1.92 46  45 0.01 -14.44 23.3  0.58 7.3  8.65  4.76 -1.6 N253    
KKH5             0.87 53  19 0.00 -12.27 23.7  0.59 7.1  7.58  3.00 -1.2 I342    
N404             3.25 19 108 0.03 -16.49 22.4  0.15 7.1  9.65  7.20 -1.0 Maffei2 
AndV             0.50 43     0.00  -8.41 26.4                        2.8 M31     
AndII            0.57 52     0.00  -9.33 25.8                        2.4 M31     
U1104            2.08 55  36 0.00 -15.17 22.7  0.71 7.6  8.51  1.77  0.5 N628    
M33             16.09 53 104 0.23 -18.87 23.5  0.38 7.0 10.31  3.70  2.0 M31     
KKH6             1.09 55  15 0.00 -12.42 24.1  0.95 7.2  7.45  1.95 -0.8 Maffei2 
N625             5.96 77  41 0.00 -16.53 23.7  0.22 6.7  9.06  1.81 -0.4 N253    
N628            22.54 20  68 0.02 -19.84 23.2  0.51 7.2 10.08  0.90  0.0 U1171   
U1171            2.86 24  21 0.00 -13.86 24.7  0.33 6.4  8.17  2.71  2.4 N628    
